aaguid;description;signature_type
"3789da91-f943-46bc-95c3-50ea2012f03a";"NEOWAVE Winkeo FIDO2";"POSSESSION"
"07a9f89c-6407-4594-9d56-621d5f1e358b";"NXP Semiconductors FIDO2 Conformance Testing CTAP2 Authenticator";"POSSESSION"
"a1f52be5-dfab-4364-b51c-2bd496b14a56";"OCTATCO EzFinger2 FIDO2 AUTHENTICATOR";"POSSESSION"
"bc2fe499-0d8e-4ffe-96f3-94a82840cf8c";"OCTATCO EzQuant FIDO2 AUTHENTICATOR";"POSSESSION"
"30b5035e-d297-4fc1-b00b-addc96ba6a97";"OneSpan FIDO Touch";"POSSESSION"
"88bbd2f0-342a-42e7-9729-dd158be5407a";"Precision InnaIT Key FIDO 2 Level 2 certified";"POSSESSION"
"149a2021-8ef6-4133-96b8-81f8d5b7f1f5";"Security Key by Yubico with NFC";"POSSESSION"
"6d44ba9b-f6ec-2e49-b930-0c8fe920cb73";"Security Key by Yubico with NFC";"POSSESSION"
"a4e9fc6d-4cbe-4758-b8ba-37598bb5bbaa";"Security Key by Yubico with NFC";"POSSESSION"
"b92c3f9a-c014-4056-887f-140a2501163b";"Security Key by Yubico";"POSSESSION"
"f8a011f3-8c0a-4d15-8006-17111f9edc7d";"Security Key by Yubico";"POSSESSION"
"0bb43545-fd2c-4185-87dd-feb0b2916ace";"Security Key NFC by Yubico - Enterprise Edition";"POSSESSION"
"516d3969-5a57-5651-5958-4e7a49434167";"SmartDisplayer BobeePass (NFC-BLE FIDO2 Authenticator)";"POSSESSION"
"8876631b-d4a0-427f-5773-0ec71c9e0279";"Solo Secp256R1 FIDO2 CTAP2 Authenticator";"POSSESSION"
"8976631b-d4a0-427f-5773-0ec71c9e0279";"Solo Tap Secp256R1 FIDO2 CTAP2 Authenticator";"POSSESSION"
"9876631b-d4a0-427f-5773-0ec71c9e0279";"Somu Secp256R1 FIDO2 CTAP2 Authenticator";"POSSESSION"
"931327dd-c89b-406c-a81e-ed7058ef36c6";"Swissbit iShield FIDO2";"POSSESSION"
"efb96b10-a9ee-4b6c-a4a9-d32125ccd4a4";"Thales eToken FIDO";"POSSESSION"
"b50d5e0a-7f81-4959-9b12-f45407407503";"Thales IDPrime MD 3940 FIDO";"POSSESSION"
"ab32f0c6-2239-afbb-c470-d2ef4e254db7";"TOKEN2 FIDO2 Security Key";"POSSESSION"
"95442b2e-f15e-4def-b270-efb106facb4e";"TrustKey G310(H)";"POSSESSION"
"87dbc5a1-4c94-4dc8-8a47-97d800fd1f3c";"TrustKey G320(H)";"POSSESSION"
"da776f39-f6c8-4a89-b252-1d86137a46ba";"TrustKey T110";"POSSESSION"
"e3512a8a-62ae-11ea-bc55-0242ac130003";"TrustKey T120";"POSSESSION"
"73402251-f2a8-4f03-873e-3cb6db604b03";"uTrust FIDO2 Security Key";"POSSESSION"
"39a5647e-1853-446c-a1f6-a79bae9f5bc7";"Vancosys Android Authenticator";"POSSESSION"
"820d89ed-d65a-409e-85cb-f73f0578f82a";"Vancosys iOS Authenticator";"POSSESSION"
"5fdb81b8-53f0-4967-a881-f5ec26fe4d18";"VinCSS FIDO2 Authenticator";"POSSESSION"
"d7a423ad-3e19-4492-9200-78137dccc136";"VivoKey Apex FIDO2";"POSSESSION"
"08987058-cadc-4b81-b6e1-30de50dcbe96";"Windows Hello Hardware Authenticator";"POSSESSION"
"6028b017-b1d4-4c02-b4b3-afcdafc96bb2";"Windows Hello Software Authenticator";"POSSESSION"
"9ddd1817-af5a-4672-a2b9-3e3dd95000a9";"Windows Hello VBS Hardware Authenticator";"POSSESSION"
"504d7149-4e4c-3841-4555-55445a677357";"WiSECURE AuthTron USB FIDO2 Authenticator";"POSSESSION"
"57415531-2e31-4020-a020-323032343032";"Wultra Authenticator 1";"POSSESSION_KNOWLEDGE"
"c1f9a0bc-1dd2-404a-b27f-8e29047a43fd";"YubiKey 5 FIPS Series with NFC";"POSSESSION"
"73bb0cd4-e502-49b8-9c6f-b59445bf720b";"YubiKey 5 FIPS Series";"POSSESSION"
"34f5766d-1536-4a24-9033-0e294e510fb0";"YubiKey 5 Series CTAP2.1 Preview Expired";"POSSESSION"
"2fc0579f-8113-47ea-b116-bb5a8db9202a";"YubiKey 5 Series with NFC";"POSSESSION"
"fa2b99dc-9e39-4257-8f92-4a30d23c4118";"YubiKey 5 Series with NFC";"POSSESSION"
"cb69481e-8ff7-4039-93ec-0a2729a154a8";"YubiKey 5 Series";"POSSESSION"
"ee882879-721c-4913-9775-3dfcce97072a";"YubiKey 5 Series";"POSSESSION"
"85203421-48f9-4355-9bc8-8a53846e5083";"YubiKey 5Ci FIPS";"POSSESSION"
"c5ef55ff-ad9a-4b9f-b580-adebafe026d0";"YubiKey 5Ci";"POSSESSION"
"83c47309-aabb-4108-8470-8be838b573cb";"YubiKey Bio Series (Enterprise Profile)";"POSSESSION"
"d8522d9f-575b-4866-88a9-ba99fa02f35b";"YubiKey Bio Series";"POSSESSION"
